finding_id,severity,area,primary_task,wave,phase,workstream,current_files,acceptance
AUX-A11Y-001,P1,Landmarks,ADMUX-0204,W04,Phase 02 — Shared UI & State Platform,Shell & Accessibility,app/admin/dashboard/components/admin-dashboard-shell.tsx; components/hiring/workforce-ui.tsx,Exactly one main landmark; no double-scroll on target viewports; keyboard scrolling remains predictable.
AUX-A11Y-002,P1,Large mobile tab sets,ADMUX-0501,W08,Phase 05 — Event & Tour Workspaces,Workspace Navigation,components/admin/operations/operations-command-shell.tsx; app/admin/dashboard/organization/page.tsx; app/admin/dashboard/ticketing/page.tsx,Event/Organization/Ticketing workspaces no longer render massive tab walls on mobile; all legacy tab URLs resolve to the correct new location.
AUX-A11Y-003,P2,Touch target size,ADMUX-0209,W04,Phase 02 — Shared UI & State Platform,Accessibility Primitives,app/admin/dashboard/components/admin-unified-inbox.tsx; app/admin/dashboard/finances/page.tsx,Icon-only controls have accessible names/tooltips; critical mobile controls meet comfortable target sizes; Reduce Motion disables decorative movement.
AUX-A11Y-004,P2,Icon-only labels,ADMUX-0209,W04,Phase 02 — Shared UI & State Platform,Accessibility Primitives,components/admin/operations/tour-operations-card.tsx; components/admin/operations/event-operations-card.tsx; components/hiring/staff-operations-tabs.tsx; app/admin/dashboard/components/admin-unified-inbox.tsx,Icon-only controls have accessible names/tooltips; critical mobile controls meet comfortable target sizes; Reduce Motion disables decorative movement.
AUX-A11Y-005,P2,Reduced motion,ADMUX-0209,W04,Phase 02 — Shared UI & State Platform,Accessibility Primitives,components/admin/operations/tour-operations-card.tsx; components/admin/operations/event-operations-card.tsx,Icon-only controls have accessible names/tooltips; critical mobile controls meet comfortable target sizes; Reduce Motion disables decorative movement.
AUX-A11Y-006,P2,Responsive tables,ADMUX-0210,W04,Phase 02 — Shared UI & State Platform,Responsive Data Tables,app/admin/dashboard/ticketing/page.tsx,Representative order/finance tables remain operable at 375px without hidden critical actions.
AUX-A11Y-007,P2,Nested scroll regions,ADMUX-0204,W04,Phase 02 — Shared UI & State Platform,Shell & Accessibility,app/admin/dashboard/components/admin-unified-inbox.tsx,Exactly one main landmark; no double-scroll on target viewports; keyboard scrolling remains predictable.
AUX-A11Y-008,P2,Responsive header actions,ADMUX-0201,W03,Phase 02 — Shared UI & State Platform,Admin Design System,app/admin/dashboard/components/admin-page-header.tsx,All migrated pages preserve page identity and one primary action from 320px through desktop; record state/scope are visible when relevant.
AUX-ANL-001,P1,Analytics false-zero state,ADMUX-0901,W14,Phase 09 — Analytics & Data Trust,Analytics,app/admin/dashboard/analytics/page.tsx,Stats failure never looks zero; Org A export/live feed never leaks Org B; export errors are actionable.
AUX-ANL-002,P1,Analytics export acting context,ADMUX-0901,W14,Phase 09 — Analytics & Data Trust,Analytics,app/admin/dashboard/analytics/page.tsx,Stats failure never looks zero; Org A export/live feed never leaks Org B; export errors are actionable.
