Workflow ID,Title,Domain,Wave,Disposition,Status,Producer,Recipients,Capability,Tenant target,Findings,Owner,Blockers,Evidence
ADM-WF-001,Admin Identity and Acting Organization,Identity and access,1,in_scope,observed,PER-002,PER-002; PER-010,admin.access,acting organization and target entity,ADM-M-003; ADM-M-021; ADM-M-047; ADM-M-051; ADM-M-052; ADM-M-056,,,
ADM-WF-002,"Roles, Capabilities, Grants, and Revocation",Authorization,1,in_scope,observed,PER-001,PER-003,org.roles.manage,acting organization and target entity,ADM-M-003; ADM-M-016; ADM-M-017; ADM-M-057,,,
ADM-WF-003,Provider Event Ingestion and Reconciliation,Events,2,platform_internal,observed,PER-016,PER-014,platform.provider.manage,provider record plus resolved organization,ADM-M-004; ADM-M-036,,,
ADM-WF-004,"Event Lifecycle, Provisioning, and Publication",Events,2,in_scope,observed,PER-002,PER-007; PER-009,event.publish,acting organization and target entity,ADM-M-004; ADM-M-009; ADM-M-031,,,
ADM-WF-005,"Tour Planning, Stops, Assignment, and Publication",Tours,2,in_scope,observed,PER-002,PER-007,tour.manage,acting organization and target entity,ADM-M-004; ADM-M-009; ADM-M-010; ADM-M-012; ADM-M-022; ADM-M-023; ADM-M-024; ADM-M-025; ADM-M-026; ADM-M-027; ADM-M-028,,,
ADM-WF-006,Artist Assignment and Artist-Surface Delivery,Artists and tours,2,in_scope,observed,PER-002,PER-007,tour.manage,acting organization and target entity,ADM-M-005,,,
ADM-WF-007,"Hiring, Candidate Invitation, and Onboarding",Hiring,3,in_scope,observed,PER-002,PER-008,hiring.manage,acting organization and target entity,ADM-M-014; ADM-M-015; ADM-M-062,,,
ADM-WF-008,"Workforce Scheduling, Roster, and Check-In",Workforce,3,in_scope,observed,PER-002,PER-006,workforce.manage,acting organization and target entity,ADM-M-006; ADM-M-029,,,
ADM-WF-009,Artist Administration and Relationship Management,Artist administration,4,in_scope,observed,PER-002,PER-007,artist.manage,acting organization and target entity,ADM-M-007; ADM-M-045; ADM-M-053,,,
ADM-WF-010,Venue Administration and Relationship Management,Venue administration,4,in_scope,observed,PER-002,PER-002,venue.manage,acting organization and target entity,ADM-M-008,,,
ADM-WF-011,"Messaging, Conversations, and Private Files",Communications,4,in_scope,observed,PER-002,PER-009,communications.send,acting organization and target entity,ADM-M-011; ADM-M-020; ADM-M-030; ADM-M-054; ADM-M-055,,,
ADM-WF-012,"Broadcasts, Reminders, Notifications, and Outbox Delivery",Delivery operations,4,in_scope,observed,PER-002,PER-009; PER-018,communications.send,acting organization and target entity,ADM-M-014; ADM-M-031; ADM-M-063; ADM-M-064,,,
ADM-WF-013,"Logistics, Travel, Lodging, Catering, and Site Maps",Operations,4,in_scope,in_progress,PER-002,PER-006,logistics.manage,acting organization and target entity,ADM-M-002; ADM-M-010; ADM-M-011; ADM-M-013; ADM-M-038; ADM-M-061,Operations engineering,,EVD-SEC104-SITEMAP-COMMIT; EVD-SEC104-SITEMAP-LOCAL; EVD-SEC104-SITEMAP-ACTING-COMMIT; EVD-SEC104-SITEMAP-ACTING-LOCAL; EVD-SEC104-SITEMAP-COLLAB-COMMIT; EVD-SEC104-SITEMAP-COLLAB-LOCAL; EVD-SEC104-SITEMAP-ELEMENTS-COMMIT; EVD-SEC104-SITEMAP-ELEMENTS-LOCAL; EVD-SEC104-SITEMAP-ELEMENTS-RLS-LOCAL; EVD-SEC104-LOGISTICS-DDL-LOCAL-FAIL
ADM-WF-014,Finance Read-Only Reporting and Export,Finance,4,in_scope,observed,PER-004,PER-004,finance.view,acting organization and target entity,ADM-M-002; ADM-M-032; ADM-M-063,,,
ADM-WF-015,Vendor and Contract Tracking,Vendors and contracts,4,in_scope,observed,PER-002,PER-009,contract.manage,acting organization and target entity,ADM-M-010; ADM-M-033; ADM-M-063,,,
