"component_file","component_group","component_kind","audit_risk","duplicate_group","incomplete_markers","disposition","canonicalTarget","decisionBasis"
"app/achievements/achievements-page-client.tsx","Shared / Other","Form / editor","medium","","0","keep","app/achievements/achievements-page-client.tsx","Retain and verify against the shared component definition of done."
"app/admin/admin-layout-client.tsx","Admin route-local","Navigation / shell","low","","0","keep","app/admin/admin-layout-client.tsx","Retain and verify against the shared component definition of done."
"app/admin/components/enhanced-metric-card.tsx","Admin route-local","Analytics / visualization","low","","0","keep","app/admin/components/enhanced-metric-card.tsx","Retain and verify against the shared component definition of done."
"app/admin/dashboard/calendar/calendar-page-client.tsx","Admin route-local","Collection / operational view","low","","0","keep","app/admin/dashboard/calendar/calendar-page-client.tsx","Retain and verify against the shared component definition of done."
"app/admin/dashboard/components/ActiveEventsList.tsx","Admin route-local","Collection / operational view","low","","0","keep","app/admin/dashboard/components/ActiveEventsList.tsx","Retain and verify against the shared component definition of done."
"app/admin/dashboard/components/admin-dashboard-shell.tsx","Admin route-local","Navigation / shell","low","","0","keep","app/admin/dashboard/components/admin-dashboard-shell.tsx","Retain and verify against the shared component definition of done."
"app/admin/dashboard/components/admin-detail-tabs.tsx","Admin route-local","Feature component","low","","0","keep","app/admin/dashboard/components/admin-detail-tabs.tsx","Retain and verify against the shared component definition of done."
"app/admin/dashboard/components/admin-empty-state.tsx","Admin route-local","Analytics / visualization","low","","0","keep","app/admin/dashboard/components/admin-empty-state.tsx","Retain and verify against the shared component definition of done."
"app/admin/dashboard/components/admin-error-card.tsx","Admin route-local","Card / item","low","","0","keep","app/admin/dashboard/components/admin-error-card.tsx","Retain and verify against the shared component definition of done."
"app/admin/dashboard/components/admin-filter-bar.tsx","Admin route-local","Form / editor","low","","0","keep","app/admin/dashboard/components/admin-filter-bar.tsx","Retain and verify against the shared component definition of done."
"app/admin/dashboard/components/admin-page-actions-row.tsx","Admin route-local","Card / item","low","","0","keep","app/admin/dashboard/components/admin-page-actions-row.tsx","Retain and verify against the shared component definition of done."
"app/admin/dashboard/components/admin-page-header.tsx","Admin route-local","Navigation / shell","low","","0","keep","app/admin/dashboard/components/admin-page-header.tsx","Retain and verify against the shared component definition of done."
"app/admin/dashboard/components/admin-page-skeleton.tsx","Admin route-local","System state","low","","0","keep","app/admin/dashboard/components/admin-page-skeleton.tsx","Retain and verify against the shared component definition of done."
"app/admin/dashboard/components/admin-stat-card.tsx","Admin route-local","Analytics / visualization","low","","0","keep","app/admin/dashboard/components/admin-stat-card.tsx","Retain and verify against the shared component definition of done."
"app/admin/dashboard/components/admin-surface-card.tsx","Admin route-local","Card / item","low","","0","keep","app/admin/dashboard/components/admin-surface-card.tsx","Retain and verify against the shared component definition of done."
"app/admin/dashboard/components/admin-surface-controls.tsx","Admin route-local","Feature component","low","","0","keep","app/admin/dashboard/components/admin-surface-controls.tsx","Retain and verify against the shared component definition of done."
"app/admin/dashboard/components/admin-unified-inbox.tsx","Admin route-local","Form / editor","medium","","0","keep","app/admin/dashboard/components/admin-unified-inbox.tsx","Retain and verify against the shared component definition of done."
"app/admin/dashboard/components/advanced-search.tsx","Admin route-local","Form / editor","medium","","0","keep","app/admin/dashboard/components/advanced-search.tsx","Retain and verify against the shared component definition of done."
"app/admin/dashboard/components/analytics-dashboard.tsx","Admin route-local","Analytics / visualization","critical","","1","hide","app/admin/dashboard/components/analytics-dashboard.tsx","Contains explicit incomplete/mock markers; do not mount on canonical production routes."
"app/admin/dashboard/components/apple-widgets.tsx","Admin route-local","Feature component","low","","0","keep","app/admin/dashboard/components/apple-widgets.tsx","Retain and verify against the shared component definition of done."
"app/admin/dashboard/components/auth-provider.tsx","Admin route-local","Feature component","low","","0","keep","app/admin/dashboard/components/auth-provider.tsx","Retain and verify against the shared component definition of done."
"app/admin/dashboard/components/breadcrumbs.tsx","Admin route-local","Navigation / shell","low","","0","keep","app/admin/dashboard/components/breadcrumbs.tsx","Retain and verify against the shared component definition of done."
"app/admin/dashboard/components/dashboard-calendar.tsx","Admin route-local","Collection / operational view","medium","","0","keep","app/admin/dashboard/components/dashboard-calendar.tsx","Retain and verify against the shared component definition of done."
"app/admin/dashboard/components/dashboard-navigation.tsx","Admin route-local","Navigation / shell","low","","0","keep","app/admin/dashboard/components/dashboard-navigation.tsx","Retain and verify against the shared component definition of done."
"app/admin/dashboard/components/dashboard-quick-hub.tsx","Admin route-local","Feature component","low","","0","keep","app/admin/dashboard/components/dashboard-quick-hub.tsx","Retain and verify against the shared component definition of done."
"app/admin/dashboard/components/dashboard.tsx","Admin route-local","Feature component","medium","","0","keep","app/admin/dashboard/components/dashboard.tsx","Retain and verify against the shared component definition of done."
"app/admin/dashboard/components/data-loading-status.tsx","Admin route-local","Analytics / visualization","low","","0","keep","app/admin/dashboard/components/data-loading-status.tsx","Retain and verify against the shared component definition of done."
"app/admin/dashboard/components/error-boundary.tsx","Admin route-local","Form / editor","medium","","0","keep","app/admin/dashboard/components/error-boundary.tsx","Retain and verify against the shared component definition of done."
"app/admin/dashboard/components/event-selector.tsx","Admin route-local","Feature component","low","","0","keep","app/admin/dashboard/components/event-selector.tsx","Retain and verify against the shared component definition of done."
"app/admin/dashboard/components/events/slack-integration.tsx","Admin route-local","Form / editor","low","","0","keep","app/admin/dashboard/components/events/slack-integration.tsx","Retain and verify against the shared component definition of done."
"app/admin/dashboard/components/events/task-card.tsx","Admin route-local","Card / item","low","","0","keep","app/admin/dashboard/components/events/task-card.tsx","Retain and verify against the shared component definition of done."
"app/admin/dashboard/components/events/task-dialog.tsx","Admin route-local","Overlay / dialog","low","","0","keep","app/admin/dashboard/components/events/task-dialog.tsx","Retain and verify against the shared component definition of done."
"app/admin/dashboard/components/header.tsx","Admin route-local","Navigation / shell","low","","0","keep","app/admin/dashboard/components/header.tsx","Retain and verify against the shared component definition of done."
"app/admin/dashboard/components/help-system.tsx","Admin route-local","Feature component","low","","0","keep","app/admin/dashboard/components/help-system.tsx","Retain and verify against the shared component definition of done."
"app/admin/dashboard/components/hooks/use-mobile.tsx","Admin route-local","Feature component","medium","DUP-001","0","retire later","components/ui/use-mobile.tsx","Exact duplicate; preserve until imports move and zero-use evidence is recorded."
"app/admin/dashboard/components/keyboard-shortcuts-help.tsx","Admin route-local","Form / editor","low","","0","keep","app/admin/dashboard/components/keyboard-shortcuts-help.tsx","Retain and verify against the shared component definition of done."
"app/admin/dashboard/components/logistics-integration.tsx","Admin route-local","Feature component","low","","0","keep","app/admin/dashboard/components/logistics-integration.tsx","Retain and verify against the shared component definition of done."
"app/admin/dashboard/components/logo.tsx","Admin route-local","Feature component","low","","0","keep","app/admin/dashboard/components/logo.tsx","Retain and verify against the shared component definition of done."
"app/admin/dashboard/components/notification-demo.tsx","Admin route-local","Form / editor","low","","0","keep","app/admin/dashboard/components/notification-demo.tsx","Retain and verify against the shared component definition of done."
"app/admin/dashboard/components/onboarding-dashboard.tsx","Admin route-local","Feature component","low","","0","keep","app/admin/dashboard/components/onboarding-dashboard.tsx","Retain and verify against the shared component definition of done."
"app/admin/dashboard/components/optimized-dashboard-client.tsx","Admin route-local","Form / editor","medium","","0","keep","app/admin/dashboard/components/optimized-dashboard-client.tsx","Retain and verify against the shared component definition of done."
"app/admin/dashboard/components/optimized-header.tsx","Admin route-local","Navigation / shell","low","","0","keep","app/admin/dashboard/components/optimized-header.tsx","Retain and verify against the shared component definition of done."
"app/admin/dashboard/components/optimized-loading.tsx","Admin route-local","Form / editor","low","","0","keep","app/admin/dashboard/components/optimized-loading.tsx","Retain and verify against the shared component definition of done."
"app/admin/dashboard/components/optimized-sidebar.tsx","Admin route-local","Navigation / shell","medium","","0","keep","app/admin/dashboard/components/optimized-sidebar.tsx","Retain and verify against the shared component definition of done."
"app/admin/dashboard/components/page-header.tsx","Admin route-local","Navigation / shell","low","","0","keep","app/admin/dashboard/components/page-header.tsx","Retain and verify against the shared component definition of done."
"app/admin/dashboard/components/StatusItem.tsx","Admin route-local","Analytics / visualization","low","","0","keep","app/admin/dashboard/components/StatusItem.tsx","Retain and verify against the shared component definition of done."
"app/admin/dashboard/components/supabase-debug.tsx","Admin route-local","Feature component","low","","0","keep","app/admin/dashboard/components/supabase-debug.tsx","Retain and verify against the shared component definition of done."
"app/admin/dashboard/components/supabase-test.tsx","Admin route-local","Feature component","low","","0","keep","app/admin/dashboard/components/supabase-test.tsx","Retain and verify against the shared component definition of done."
"app/admin/dashboard/components/theme-provider.tsx","Admin route-local","Feature component","low","","0","keep","app/admin/dashboard/components/theme-provider.tsx","Retain and verify against the shared component definition of done."
"app/admin/dashboard/components/tour-event-provider.tsx","Admin route-local","Feature component","low","","0","keep","app/admin/dashboard/components/tour-event-provider.tsx","Retain and verify against the shared component definition of done."
"app/admin/dashboard/components/user-profile.tsx","Admin route-local","Form / editor","low","","0","keep","app/admin/dashboard/components/user-profile.tsx","Retain and verify against the shared component definition of done."
"app/admin/dashboard/components/virtual-scroll.tsx","Admin route-local","Feature component","low","","0","keep","app/admin/dashboard/components/virtual-scroll.tsx","Retain and verify against the shared component definition of done."
"app/admin/dashboard/contexts/admin-dashboard-context.tsx","Admin route-local","Feature component","low","","0","keep","app/admin/dashboard/contexts/admin-dashboard-context.tsx","Retain and verify against the shared component definition of done."
