"task_id","task","owner_role","dependency","acceptance_evidence","status"
"API-001","Define the canonical post visibility matrix: public, followers, friends, private, unpublished, soft-deleted, blocked-user, and missing parent","Backend/Product","None","Approved matrix","READY"
"API-002","Create or reuse a server visibility helper that executes with caller identity and RLS","Backend/Security","API-001","Unit and integration tests","BLOCKED"
"API-003","Refactor comments GET to authorize the parent before reading children","Backend","API-002","Visibility integration suite passes","BLOCKED"
"API-004","Replace N+1 profile reads with a joined or two-query bulk lookup","Backend","API-003","Query count bounded at 2–3 per request","BLOCKED"
"API-005","Remove raw database error details from public responses and add a request correlation ID","Backend/Platform","None","API contract test","READY"
"API-006","Define and implement atomic comment-count behavior","Backend/Database","Phase 2 baseline decision","Concurrent-insert test; count reconciliation query","BLOCKED"
"API-007","Add comment-create rules for disabled comments, invisible parents, blocks, and deleted posts","Backend/Security","API-001","Negative integration tests","BLOCKED"
"API-008","Add rate limit and content length/normalization tests without changing existing valid comments","Backend/Security","API-003","Abuse-case tests","BLOCKED"
"SEC-001","Map application, policy, trigger, and Edge Function references for the eight anon-executable definers","Security/Backend","P0-008","Caller matrix","BLOCKED"
"SEC-002","Revoke PUBLIC/anon execution where no anonymous caller is approved","Database/Security","SEC-001","Grant assertion query","BLOCKED"
"SEC-003","For any legitimate anonymous function, replace caller-controlled identities with server-derived context and explicit safe behavior","Database/Security","SEC-001","Adversarial tests","BLOCKED"
"SEC-004","Make trigger-only functions non-callable by anon and authenticated","Database","SEC-001","Trigger still fires; direct RPC denied","BLOCKED"
"SEC-005","Put emergency grant changes into a reviewed forward migration and record exact live application evidence","Database","SEC-002","Migration and deployment record","BLOCKED"
"OBS-001","Remove localhost ingest calls and agent markers from both feed files","Backend","None","Scanner passes; feed tests pass","READY"
"OBS-002","Expand forbidden patterns to cover debug headers, hard-coded run IDs, hypothesis markers, and known ingest path variants","Platform","OBS-001","Positive and negative scanner fixtures","BLOCKED"
"OBS-003","Add check:production-debug as an early required CI job","Platform","OBS-002","Required check visible on PR","BLOCKED"
"OBS-004","Replace any needed feed timings with approved telemetry using redacted, sampled fields","Platform/Backend","OBS-001","Trace sample and privacy review","BLOCKED"
"RUN-001","Rank current error signatures by request count, affected route, user journey, and data-write risk","Platform/Backend","P0-008","Prioritized incident register","BLOCKED"
"RUN-002","Add server-side capability flags for incomplete marketplace/music/logistics modules that query absent schema","Backend/Product","RUN-001","Disabled route returns intentional capability response, not 404/400 schema error","BLOCKED"
"RUN-003","Remove “missing table means empty success” handling from active paths; use stable unavailable/error semantics","Backend","RUN-001","Contract tests","BLOCKED"
"RUN-004","Add alerts for missing relation, missing column, permission denied, and function return mismatch signatures","Platform","RUN-001","Alert test and owner routing","BLOCKED"
"DB-001","Merge local and remote histories into one ledger keyed by version","Database","P0-006, P0-007","Ledger contains all versions","BLOCKED"
"DB-002","Add local checksum, remote name, collision flag, SQL object effects, risk level, and domain owner","Database","DB-001","No unclassified row","BLOCKED"
"DB-003","Classify every entry as MATCHED, LOCAL_ONLY, REMOTE_ONLY, COLLISION, or SUPERSEDED","Database","DB-002","Count reconciles to audited totals","BLOCKED"
"DB-004","Review the two known timestamp collisions by resulting schema effect, not filename","Database/Domain owners","DB-002","Signed collision decision","BLOCKED"
"DB-005","Scan every local-only migration for destructive DDL, data backfills, external assumptions, and duplicate object creation","Database/Security","DB-002","Risk annotations complete","BLOCKED"
"DB-006","Map each currently live table, column, function, policy, trigger, view, type, index, and grant to its originating history where possible","Database","P0-005, DB-002","Object lineage coverage report","BLOCKED"
"DB-007","Create a domain-by-domain live-versus-code schema diff","Database/Backend","DB-006","Machine-readable diff","BLOCKED"
"DB-008","Ask each domain owner to classify missing objects as ACTIVE_REQUIRED, FUTURE_GATED, LEGACY_REFERENCE, ADMIN_ONLY, or INVALID_REFERENCE","Product/Domain owners","DB-007","All production references classified","BLOCKED"
"DB-009","Define the canonical state for each collision and overlapping object family","Architecture/Database","DB-004, DB-008","Architecture decision records","BLOCKED"
"DB-010","Define data-preservation and compatibility rules for every changed table","Database/Product","DB-009","Per-table conversion plan","BLOCKED"
"DB-011","Create a dedicated database recovery branch/project with synthetic, non-production seed data","Database/Platform","P0-002","Project identity and isolation verified","BLOCKED"
"DB-012","Produce a clean schema baseline representing approved current state","Database","DB-009, DB-010","Baseline SQL reviewed","BLOCKED"
"DB-013","Preserve legacy migrations in Git history and an immutable ledger; do not silently delete evidence","Database/Release","DB-012","Archive/tag and manifest","BLOCKED"
"DB-014","Recreate the disposable database from the proposed baseline","Database","DB-012","Clean replay succeeds","BLOCKED"
