Finding ID,Kind,Priority,State,Domain,Wave,Status,Title,Solution,Workflows,Owner,Blockers,Evidence
ADM-M-001,product_or_technical,P0,broken,Build / CI,0,reproduced,Typecheck fails; next build impossible (app/venue/equipment/page.tsx syntax error :557/:1138),Fix file; make typecheck a CI merge gate,ADM-WF-017,Engineering,,EVD-WAVE0-TYPECHECK-LOCAL-FAIL
ADM-M-002,product_or_technical,P0,security,Security / Authorization,1,observed,"Authenticated-wide RLS on financial_transactions, budgets, equipment_*, workflow_*, travel/lodging family = cross-org read/write",Org-scoped policies (pattern: work_mode_publications); extend REL-101 matrix,ADM-WF-013; ADM-WF-014; ADM-WF-019,,,
ADM-M-003,product_or_technical,P0,security,Security / Authorization,1,observed,Self-service admin escalation: surface gate accepts profiles.account_type/is_admin/organizer_data; owner-update RLS unguarded,Gate admin on org_members+grants only; DB trigger blocking self-elevation; runtime repro NEEDS_VERIFICATION,ADM-WF-001; ADM-WF-002; ADM-WF-018,,,
ADM-M-004,product_or_technical,P1,data_integrity,Tours / Events / Artists,2,observed,Two disjoint event universes: legacy events (sync/claims/artist flows) vs canonical events_v2 (tours/calendar) with no bridge,Pick canonical table or build documented sync bridge,ADM-WF-003; ADM-WF-004; ADM-WF-005,,,
ADM-M-005,product_or_technical,P1,missing,Tours / Events / Artists,2,observed,"Artist assignment propagation absent: 3 rosters (organization_artist_members, tour_artists, event_participants) never linked",Wire assignment to surfaces artist dashboard reads,ADM-WF-006,,,
ADM-M-006,product_or_technical,P1,security,Workforce / Hiring,3,observed,Shift publish skips permission checks for org shifts (null venue_id bypasses loop),Check org authority when venue_id null,ADM-WF-008,,,
ADM-M-007,product_or_technical,P1,security,Admin Platform,4,observed,Artists API globally unscoped; POST upsert clobbers existing profiles by email; DELETE callable w/o UI,Scope by acting org; replace upsert; remove/guard delete,ADM-WF-009,,,
ADM-M-008,product_or_technical,P1,security,Navigation / IA,4,observed,Venues admin API cross-org leak via venue_name joins; no org linkage; grid uses public search API,Structural FK to org/event; scope queries,ADM-WF-010,,,
ADM-M-009,product_or_technical,P1,missing,Tours / Events / Artists,2,observed,Event publish/provision/tour-assignments endpoints have zero UI callers; status dropdown may shortcut readiness,Build UI wiring or remove endpoints,ADM-WF-004; ADM-WF-005,,,
ADM-M-010,product_or_technical,P1,data_integrity,Tours / Events / Artists,4,observed,"Core DDL only in migration-archive (admin_publication_outbox, message-attachments bucket, tour_versions/tour_stops); phantom tables queried: contracts, vendor_contracts, tour_plan_quarantine, admin_requests, catering",Promote DDL to active migrations; create or stop querying phantom tables,ADM-WF-005; ADM-WF-013; ADM-WF-015; ADM-WF-019,,,
ADM-M-011,product_or_technical,P1,security,Operations / Communications,4,observed,message-attachments bucket world-readable + getPublicUrl in inbox; site-map images public; zero org-scoped storage policies,Private buckets + signed URLs for chat/docs,ADM-WF-011; ADM-WF-013,,,
ADM-M-012,product_or_technical,P1,security,Security / Authorization,1,observed,tour_events RLS insert/update/delete accept is_tour_owner alone - cross-org event attach possible via direct API,Require event org match in WITH CHECK even for tour owners,ADM-WF-005,,,
ADM-M-013,product_or_technical,P1,broken,Build / CI,0,in_progress,Both security CI gates red: route registry 11+ unclassified (legacy ceiling 122/122); service-role allowlist 38 new bare imports,Classify routes; migrate to executeServiceRoleJob or justify inventory,ADM-WF-017; ADM-WF-019,Security engineering,,EVD-WAVE0-CONTROLS-COMMIT; EVD-WAVE0-ROUTE-REGISTRY-LOCAL; EVD-WAVE0-SERVICE-ROLE-LOCAL; EVD-SEC104-SITEMAP-COMMIT; EVD-SEC104-SITEMAP-LOCAL; EVD-SEC104-SITEMAP-ACTING-COMMIT; EVD-SEC104-SITEMAP-ACTING-LOCAL; EVD-SEC104-SITEMAP-COLLAB-COMMIT; EVD-SEC104-SITEMAP-COLLAB-LOCAL
ADM-M-014,product_or_technical,P1,missing,Workforce / Hiring,3,observed,Hiring/onboarding invites never send email (token returned to admin UI only); Resend wired only for contracts,Integrate Resend delivery into invite paths,ADM-WF-007; ADM-WF-012,,,
ADM-M-015,product_or_technical,P1,broken,Workforce / Hiring,3,observed,Onboarding workflows/advance accepts arbitrary new_stage without ordering guard or employer scoping,Validate stage transitions; requireAdminCapability per employer,ADM-WF-007,,,
ADM-M-016,product_or_technical,P2,inconsistent,Security / Authorization,1,observed,org_members.role unconstrained free text; 6 parallel role taxonomies drift,Constrain role enum; single taxonomy,ADM-WF-002; ADM-WF-018,,,
ADM-M-017,product_or_technical,P2,inconsistent,Security / Authorization,1,observed,Two divergent capability services (/api/admin/capabilities vs effective-capabilities); DB perm vocabulary disjoint from ADMIN_CAPABILITIES,Consolidate on SEC-102 model,ADM-WF-002; ADM-WF-018,,,
ADM-M-018,product_or_technical,P2,data_integrity,Security / Authorization,1,observed,Idempotency-Key enforcement is in-memory Map only; duplicates across serverless instances,Land SEC-111 durable store,ADM-WF-017,,,
ADM-M-019,product_or_technical,P2,design_debt,Navigation / IA,1,in_progress,Audit logging: ~6/288 admin route files write audit rows despite central helpers,Adopt helper in command pipeline / registry contract,ADM-WF-017,Security engineering,,EVD-SEC104-SITEMAP-ACTING-COMMIT; EVD-SEC104-SITEMAP-ACTING-LOCAL
ADM-M-020,product_or_technical,P2,security,Operations / Communications,4,observed,Client-side Supabase writes bypassing API auth/audit: organizer_accounts settings update; inbox message inserts,Route through API layer,ADM-WF-011; ADM-WF-018,,,
ADM-M-021,product_or_technical,P2,data_integrity,Design System,1,observed,user_sessions table not in active migration chain; acting-context persistence silently degrades,Add migration or document header-only mode,ADM-WF-001,,,
ADM-M-022,product_or_technical,P2,broken,Tours / Events / Artists,2,observed,Tours autosave failure near-silent; 800ms skipAutosave race window can drop edits,Retry queue + beforeunload guard,ADM-WF-005,,,
ADM-M-023,product_or_technical,P2,partial,Tours / Events / Artists,2,observed,Event duplicate copies ~6 shallow fields (riders/contacts/team/finance dropped); generic error toasts discard server messages,Deep copy service,ADM-WF-005,,,
ADM-M-024,product_or_technical,P2,missing,Tours / Events / Artists,2,observed,Plan quarantine list-only: no resolve/retry/dismiss endpoint,Add remediation endpoint,ADM-WF-005,,,
ADM-M-025,product_or_technical,P2,data_integrity,Tours / Events / Artists,2,observed,Ghost stops: event delete SET-NULLs tour_stops.event_id leaving active stops that block readiness; deleteEvent non-transactional,Sweep orphans; transactional delete,ADM-WF-005,,,
ADM-M-026,product_or_technical,P2,broken,Tours / Events / Artists,2,observed,Timezone-naive datetimes parsed as UTC; events_v2.timezone never applied; ICS wrong wall-clock,Adopt tz-aware composition (date-fns-tz),ADM-WF-005,,,
ADM-M-027,product_or_technical,P2,partial,Tours / Events / Artists,2,observed,Holds: cancel from any state; no sweeper expires past-due holds,State guards + cron sweeper,ADM-WF-005,,,
ADM-M-028,product_or_technical,P2,inconsistent,Tours / Events / Artists,2,observed,Calendar fragmentation: admin UI bypasses aggregate API; third hand-rolled ICS path,Point at /api/admin/calendar,ADM-WF-005,,,
ADM-M-029,product_or_technical,P2,broken,Workforce / Hiring,3,observed,Conflict detection blind to venue-employed staff; derived-only unpersisted,Key off employer entity correctly,ADM-WF-008,,,
ADM-M-030,product_or_technical,P2,broken,Operations / Communications,4,observed,Threads API hardcodes unreadCount:0 and ignores group threads; replies client-side,Use list-route unread logic,ADM-WF-011,,,
ADM-M-031,product_or_technical,P2,needs_verification,Tours / Events / Artists,4,observed,Broadcast = notification rows only; email depends on external DB webhook (503 if secret unset); event-reminders cron is a stub,Verify prod webhook config; implement reminders,ADM-WF-004; ADM-WF-012,,,
ADM-M-032,product_or_technical,P2,design_debt,Operations / Communications,4,observed,"Finances ledger-only: no double-entry, USD hardcoded, payouts retry = status flip (no Stripe movement)",Scope decision + journal design,ADM-WF-014,,,
ADM-M-033,product_or_technical,P2,partial,Security / Authorization,4,observed,Contracts: typed-name e-signature; contract.sign capability enforced nowhere; obligations GET-only; admin UI read-only,Decide e-sig posture; enforce capability,ADM-WF-015,,,
ADM-M-034,product_or_technical,P2,broken,Tours / Events / Artists,5,observed,"Live-broken nav targets: cmd+N pushes nonexistent /tours/new,/events/new; dead quick-action links",Fix targets or shortcuts,ADM-WF-016,,,
ADM-M-035,product_or_technical,P2,broken,Operations / Communications,5,observed,Domain Health Grid ?tab= params ignored (logistics?tab=vendors -> Overview; finances tabs not URL-synced; vendor-master nonexistent),URL-sync tabs or fix hrefs,ADM-WF-016,,,
ADM-M-036,product_or_technical,P2,partial,Tours / Events / Artists,4,observed,Orphaned/dormant surfaces: events claims/duplicates/providers/sync unreachable + flag-gated global-admin trust model,Nav entry or archive decision,ADM-WF-003; ADM-WF-020,,,
ADM-M-037,product_or_technical,P2,design_debt,Design System,5,observed,Design system fragmentation: 3 table impls; silent toast loss (unmounted radix hook in 8 files); dead admin-tokens; 2 visual dialects; 4 date pickers; 0 RHF adoption; loader sprawl,Consolidation program (8 items listed),ADM-WF-016,,,
ADM-M-038,product_or_technical,P2,performance,Operations / Communications,5,observed,"18 client components >1000 lines; ~180/288 admin selects unbounded; N+1 loops (bulk approve, publish, grant-admins, task-messages); react-query unused in admin",Pagination + batching + data layer,ADM-WF-013; ADM-WF-017,,,
ADM-M-039,product_or_technical,P2,accessibility,Tours / Events / Artists,5,observed,Sidebar lacks nav semantics/aria-current; unlabeled icon buttons; forms placeholder-only (~79 inputs/6 labels); custom modals without focus trap; mobile drawer no trap/Esc,A11y pass on shell + big pages,ADM-WF-016,,,
ADM-M-040,product_or_technical,P3,design_debt,Tours / Events / Artists,5,observed,Payroll nav item is disabled design preview; analytics placeholder charts; organization placeholder tabs,Label as preview or hide,ADM-WF-016,,,
ADM-M-041,product_or_technical,P3,design_debt,Build / CI,5,observed,Duplicate creation paths (builder/create/planner + broken /new); Staff Ops duplicated in sidebar; Settings x3,Single canonical path each,ADM-WF-016,,,
ADM-M-042,product_or_technical,P3,partial,Hardening / Quality,5,observed,apps/mobile has no worker/work-mode or admin surface,Product scope decision,ADM-WF-016,,,
ADM-M-043,product_or_technical,P3,broken,Workforce / Hiring,5,observed,Keyboard shortcut conflicts: cmd+f hijacks find; cmd+shift+f double-registered; dead Enter/Esc/Delete handlers; overlapping sidebar handler,Prune registry,ADM-WF-016,,,
ADM-M-044,product_or_technical,P3,design_debt,Security / Authorization,5,observed,Mock-data global search links to nonexistent detail URLs,Remove mock entries,ADM-WF-016,,,
ADM-M-045,product_or_technical,P3,partial,Design System,4,observed,CSV import sequential POSTs discarding error detail; metrics via unscoped tables,Batch endpoint with row errors,ADM-WF-009,,,
ADM-M-046,product_or_technical,P3,security,Admin Platform,4,observed,/admin/request writes to nonexistent admin_requests via browser anon client,Remove or implement server-side,ADM-WF-018,,,
ADM-M-047,product_or_technical,P3,partial,Admin Platform,1,observed,Stale acting-context silently demoted server-side with no client signal,Return demotion flag,ADM-WF-001,,,
ADM-M-048,product_or_technical,P3,performance,Hardening / Quality,5,observed,Sentry init no-op without DSN; error boundary lacks captureException/digest surfacing,Wire capture + config alerting,ADM-WF-017,,,
ADM-M-049,product_or_technical,P3,partial,Security / Authorization,5,observed,No offline/network-state handling in web admin; Idempotency-Key headers in only 3 client call sites,Add keys to critical mutations,ADM-WF-017,,,
ADM-M-050,product_or_technical,P3,design_debt,Navigation / IA,5,observed,"Dead components: DashboardQuickHub, VirtualScroll, ContextualNavigation, AdminDetailTabs; PayrollExportPanel contradicts progress logs",Delete or wire,ADM-WF-016,,,
ADM-M-051,product_or_technical,P0,security,Security / Authorization,1,observed,switch_active_account SECURITY DEFINER RPC trusts caller-supplied user/profile identity,Derive actor from auth.uid(); validate profile/account membership; restrict EXECUTE; add cross-user negative tests.,ADM-WF-001,,,
ADM-M-052,product_or_technical,P0,security,Security / Authorization,1,observed,get_user_accounts_adaptive allows arbitrary target-user account discovery,Bind ordinary lookup to auth.uid(); isolate privileged cross-user lookup behind explicit grant/service principal.,ADM-WF-001,,,
ADM-M-053,product_or_technical,P0,data_integrity,Security / Authorization,1,observed,create_artist_account trusts caller identity and contains WHERE user_id = user_id mass-update defect,Use auth.uid(); rename parameters; scope update correctly; wrap mutation transactionally; add multi-user regression tests.,ADM-WF-009,,,
ADM-M-054,product_or_technical,P0,security,Operations / Communications,1,observed,send_dm_request permits caller-controlled sender identity,Derive sender from auth.uid(); remove actor arg; validate recipient/block state; restrict EXECUTE; test impersonation.,ADM-WF-011,,,
ADM-M-055,product_or_technical,P1,security,Operations / Communications,1,observed,get_or_create_conversation accepts arbitrary user pairs without strong actor binding,Bind one participant to auth.uid(); privileged override only via explicit service/admin path.,ADM-WF-011,,,
