"task_id","task","owner_role","dependency","acceptance_evidence","status","qualified_id","accountable_owner","due_date","pull_request","migration_version","before_evidence","validation_result","after_evidence","feature_flag","rollback_instruction","production_approver","observation_end"
"API-001","Define the canonical post visibility matrix: public, followers, friends, private, unpublished, soft-deleted, blocked-user, and missing parent","Backend/Product","None","Approved matrix","IN_REVIEW","AUDIT:API-001","","","","","","Public/followers/friends/private/hidden/moderated/missing behavior implemented; blocked-user schema remains UNKNOWN_BLOCKING","","","","",""
"API-002","Create or reuse a server visibility helper that executes with caller identity and RLS","Backend/Security","API-001","Unit and integration tests","IN_REVIEW","AUDIT:API-002","","","","","","Caller-scoped parent helper and focused visibility tests pass","","","","",""
"API-003","Refactor comments GET to authorize the parent before reading children","Backend","API-002","Visibility integration suite passes","IN_REVIEW","AUDIT:API-003","","","","","","GET and POST authorize the parent before child access; route integration evidence remains open","","","","",""
"API-004","Replace N+1 profile reads with a joined or two-query bulk lookup","Backend","API-003","Query count bounded at 2–3 per request","VALIDATING","AUDIT:API-004","","","","","","Profiles are loaded in one bounded IN query","","","","",""
"API-005","Remove raw database error details from public responses and add a request correlation ID","Backend/Platform","None","API contract test","VALIDATING","AUDIT:API-005","","","","","","Stable error envelope and correlation header implemented; route contract test remains open","","","","",""
"API-006","Define and implement atomic comment-count behavior","Backend/Database","Phase 2 baseline decision","Concurrent-insert test; count reconciliation query","IN_REVIEW","AUDIT:API-006","","","","20260728162903","","Planned forward migration passes static validation; isolated concurrency and reconciliation evidence remain open","","","Disable comments and install a reviewed forward trigger replacement; preserve all comments and counters","",""
"API-007","Add comment-create rules for disabled comments, invisible parents, blocks, and deleted posts","Backend/Security","API-001","Negative integration tests","IN_PROGRESS","AUDIT:API-007","","","","","","Invisible and moderated parents fail closed; comments-enabled and blocked-user schema decisions remain open","","","","",""
"API-008","Add rate limit and content length/normalization tests without changing existing valid comments","Backend/Security","API-003","Abuse-case tests","IN_REVIEW","AUDIT:API-008","","","","","","Whitespace normalization, 2,000-character limit, and a 20-per-minute user mutation limit are implemented; abuse integration evidence remains open","","","","",""
"SEC-001","Map application, policy, trigger, and Edge Function references for the eight anon-executable definers","Security/Backend","P0-008","Caller matrix","BLOCKED","AUDIT:SEC-001","","","","","","","","","","",""
"SEC-002","Revoke PUBLIC/anon execution where no anonymous caller is approved","Database/Security","SEC-001","Grant assertion query","BLOCKED","AUDIT:SEC-002","","","","","","","","","","",""
"SEC-003","For any legitimate anonymous function, replace caller-controlled identities with server-derived context and explicit safe behavior","Database/Security","SEC-001","Adversarial tests","BLOCKED","AUDIT:SEC-003","","","","","","","","","","",""
"SEC-004","Make trigger-only functions non-callable by anon and authenticated","Database","SEC-001","Trigger still fires; direct RPC denied","BLOCKED","AUDIT:SEC-004","","","","","","","","","","",""
"SEC-005","Put emergency grant changes into a reviewed forward migration and record exact live application evidence","Database","SEC-002","Migration and deployment record","BLOCKED","AUDIT:SEC-005","","","","","","","","","","",""
"OBS-001","Remove localhost ingest calls and agent markers from both feed files","Backend","None","Scanner passes; feed tests pass","VALIDATING","AUDIT:OBS-001","","","","","","Both ingest paths removed and production scanner passes","","","","",""
"OBS-002","Expand forbidden patterns to cover debug headers, hard-coded run IDs, hypothesis markers, and known ingest path variants","Platform","OBS-001","Positive and negative scanner fixtures","VALIDATING","AUDIT:OBS-002","","","","","","Scanner patterns and positive/negative fixtures pass","","","","",""
"OBS-003","Add check:production-debug as an early required CI job","Platform","OBS-002","Required check visible on PR","IN_REVIEW","AUDIT:OBS-003","","","","","","Independent CI job added; real pull-request and branch-protection evidence remains open","","","","",""
"OBS-004","Replace any needed feed timings with approved telemetry using redacted, sampled fields","Platform/Backend","OBS-001","Trace sample and privacy review","BLOCKED","AUDIT:OBS-004","","","","","","","","","","",""
"RUN-001","Rank current error signatures by request count, affected route, user journey, and data-write risk","Platform/Backend","P0-008","Prioritized incident register","IN_PROGRESS","AUDIT:RUN-001","","","","","","Signature categories and ownership roles registered; live rate ranking requires confirmed target telemetry","","","","",""
"RUN-002","Add server-side capability flags for incomplete marketplace/music/logistics modules that query absent schema","Backend/Product","RUN-001","Disabled route returns intentional capability response, not 404/400 schema error","IN_REVIEW","AUDIT:RUN-002","","","","","","Polls, marketplace integrations, and music-finance order paths fail closed before schema access","","FEATURE_AUDIT_POLLS_APPROVED; FEATURE_AUDIT_MARKETPLACE_INTEGRATIONS_APPROVED; FEATURE_AUDIT_MUSIC_FINANCE_OFFERINGS_APPROVED","","",""
"RUN-003","Remove “missing table means empty success” handling from active paths; use stable unavailable/error semantics","Backend","RUN-001","Contract tests","IN_PROGRESS","AUDIT:RUN-003","","","","","","Comments and gated paths use stable errors; remaining active empty-success paths require inventory","","","","",""
"RUN-004","Add alerts for missing relation, missing column, permission denied, and function return mismatch signatures","Platform","RUN-001","Alert test and owner routing","IN_PROGRESS","AUDIT:RUN-004","","","","","","Alert categories and owner roles registered; operational alert wiring remains open","","","","",""
"DB-001","Merge local and remote histories into one ledger keyed by version","Database","P0-006, P0-007","Ledger contains all versions","IN_REVIEW","AUDIT:DB-001","","","","","","Merged ledger contains all 406 local files and 180 unique remote records across 441 versions","","","","",""
"DB-002","Add local checksum, remote name, collision flag, SQL object effects, risk level, and domain owner","Database","DB-001","No unclassified row","IN_PROGRESS","AUDIT:DB-002","","","","","","Checksums, remote names, collision reasons, static object previews, and risk levels are generated; effect review and accountable owner assignment remain open","","","","",""
"DB-003","Classify every entry as MATCHED, LOCAL_ONLY, REMOTE_ONLY, COLLISION, or SUPERSEDED","Database","DB-002","Count reconciles to audited totals","IN_REVIEW","AUDIT:DB-003","","","","","","Initial reconciliation yields 141 matched, 259 local-only, 37 remote-only, and four collision versions; manual supersession decisions remain open","","","","",""
"DB-004","Review the two known timestamp collisions by resulting schema effect, not filename","Database/Domain owners","DB-002","Signed collision decision","IN_PROGRESS","AUDIT:DB-004","","","","","","Two audited local/remote collisions and two new local duplicate-version collisions are isolated; live effect approval remains open","","","","",""
"DB-005","Scan every local-only migration for destructive DDL, data backfills, external assumptions, and duplicate object creation","Database/Security","DB-002","Risk annotations complete","BLOCKED","AUDIT:DB-005","","","","","","","","","","",""
"DB-006","Map each currently live table, column, function, policy, trigger, view, type, index, and grant to its originating history where possible","Database","P0-005, DB-002","Object lineage coverage report","BLOCKED","AUDIT:DB-006","","","","","","","","","","",""
"DB-007","Create a domain-by-domain live-versus-code schema diff","Database/Backend","DB-006","Machine-readable diff","BLOCKED","AUDIT:DB-007","","","","","","","","","","",""
"DB-008","Ask each domain owner to classify missing objects as ACTIVE_REQUIRED, FUTURE_GATED, LEGACY_REFERENCE, ADMIN_ONLY, or INVALID_REFERENCE","Product/Domain owners","DB-007","All production references classified","BLOCKED","AUDIT:DB-008","","","","","","","","","","",""
"DB-009","Define the canonical state for each collision and overlapping object family","Architecture/Database","DB-004, DB-008","Architecture decision records","BLOCKED","AUDIT:DB-009","","","","","","","","","","",""
"DB-010","Define data-preservation and compatibility rules for every changed table","Database/Product","DB-009","Per-table conversion plan","BLOCKED","AUDIT:DB-010","","","","","","","","","","",""
"DB-011","Create a dedicated database recovery branch/project with synthetic, non-production seed data","Database/Platform","P0-002","Project identity and isolation verified","BLOCKED","AUDIT:DB-011","","","","","","","","","","",""
"DB-012","Produce a clean schema baseline representing approved current state","Database","DB-009, DB-010","Baseline SQL reviewed","BLOCKED","AUDIT:DB-012","","","","","","","","","","",""
"DB-013","Preserve legacy migrations in Git history and an immutable ledger; do not silently delete evidence","Database/Release","DB-012","Archive/tag and manifest","BLOCKED","AUDIT:DB-013","","","","","","","","","","",""
"DB-014","Recreate the disposable database from the proposed baseline","Database","DB-012","Clean replay succeeds","BLOCKED","AUDIT:DB-014","","","","","","","","","","",""
"DB-015","Replay twice and assert the second generated schema diff is empty or fully explained","Database/QA","DB-014","Determinism report","BLOCKED","AUDIT:DB-015","","","","","","","","","","",""
"DB-016","Run database unit/RLS tests, security/performance advisors, function grant assertions, and representative queries","QA/Security","DB-014","Test bundle green","BLOCKED","AUDIT:DB-016","","","","","","","","","","",""
"DB-017","Generate TypeScript types from the disposable database and compare them to application references","Database/Backend","DB-014","Type and contract diff","BLOCKED","AUDIT:DB-017","","","","","","","","","","",""
"DB-018","Generate new forward-only convergence migrations in domain batches; do not reuse colliding timestamps","Database","DB-016, Phase 3 domain decisions","Reviewed migrations","BLOCKED","AUDIT:DB-018","","","","","","","","","","",""
"DB-019","Test every convergence migration against a clone/branch representing the live schema","Database/QA","DB-018","Before/after schema diff and data checks","BLOCKED","AUDIT:DB-019","","","","","","","","","","",""
"DB-020","Perform dry-run and lock-impact review for each production batch","Database/Platform","DB-019","Dry-run log and maintenance decision","BLOCKED","AUDIT:DB-020","","","","","","","","","","",""
"DB-021","Apply the approved batches with backups/PITR verified and monitoring active","Database/Release","DB-020","Deployment record","BLOCKED","AUDIT:DB-021","","","","","","","","","","",""
"DB-022","Repair/adopt migration history only for individually verified versions or the approved baseline marker","Database/Release","DB-021","Before/after history ledger; explicit approval","BLOCKED","AUDIT:DB-022","","","","","","","","","","",""
"DB-023","Prove future db push --dry-run proposes only intentionally pending migrations","Database/Platform","DB-022","Dry-run output","BLOCKED","AUDIT:DB-023","","","","","","","","","","",""
"DB-024","Regenerate and commit canonical database types from the reconciled target","Database/Backend","DB-023","Types match target; typecheck green","BLOCKED","AUDIT:DB-024","","","","","","","","","","",""
"CON-001","Extend static extraction to capture relation, selected column, RPC, storage bucket, and schema references","Platform/Backend","DB-014","Contract manifest","BLOCKED","AUDIT:CON-001","","","","","","","","","","",""
"CON-002","Resolve dynamic relation/RPC names through an explicit allowlist with owner and justification","Backend/Domain owners","CON-001","No unexplained dynamic target","BLOCKED","AUDIT:CON-002","","","","","","","","","","",""
"CON-003","Compare the manifest to disposable database metadata in CI","Platform/Database","CON-001, DB-014","Failing fixture and passing baseline","BLOCKED","AUDIT:CON-003","","","","","","","","","","",""
"CON-004","Fail CI for an absent production target unless its route is feature-gated and tested inaccessible","Platform","CON-003","Required check","BLOCKED","AUDIT:CON-004","","","","","","","","","","",""
"CON-005","Check generated TypeScript types against freshly generated disposable-database types","Platform/Database","DB-024","No unreviewed diff","BLOCKED","AUDIT:CON-005","","","","","","","","","","",""
"DOM-101","Confirm types, defaults, nullability, RLS, and backfill meaning for poll columns","Feed/Database","DB-008","Data contract","BLOCKED","AUDIT:DOM-101","","","","","","","","","","",""
"DOM-102","Add required poll schema through forward migration only if polls are an active released feature","Feed/Database","DOM-101","Migration tests and RLS personas","BLOCKED","AUDIT:DOM-102","","","","","","","","","","",""
"DOM-103","Add/validate owner_user_id without replacing existing account relationship identifiers","Accounts/Database","DB-010","Backfill and ownership validation","BLOCKED","AUDIT:DOM-103","","","","","","","","","","",""
"DOM-104","Implement atomic comment counter behavior and reconciliation","Feed/Database","API-006","Concurrency and repair tests","BLOCKED","AUDIT:DOM-104","","","","","","","","","","",""
"DOM-105","Verify feed, author feed, profile feed, comments, polls, follows, friends, and blocked-user behavior end to end","QA","DOM-102–104","Journey suite","BLOCKED","AUDIT:DOM-105","","","","","","","","","","",""
"DOM-201","Define canonical music trust/origin lifecycle and compatibility defaults","Music/Product/Security","DB-008","Approved state model","BLOCKED","AUDIT:DOM-201","","","","","","","","","","",""
"DOM-202","Add trust/origin columns as nullable or safely defaulted expansion fields","Music/Database","DOM-201","Migration lock and data tests","BLOCKED","AUDIT:DOM-202","","","","","","","","","","",""
"DOM-203","Backfill existing music rows in resumable batches; preserve original metadata","Music/Database","DOM-202","Checkpoints and before/after counts","BLOCKED","AUDIT:DOM-203","","","","","","","","","","",""
"DOM-204","Resolve tour_artists.artist_user_id using a verified mapping; quarantine ambiguous rows for manual review","Tours/Database","DB-010","Zero silent mis-mappings","BLOCKED","AUDIT:DOM-204","","","","","","","","","","",""
"DOM-205","Add/derive merchandise active state while preserving current listings","Marketplace/Database","DB-010","Storefront regression tests","BLOCKED","AUDIT:DOM-205","","","","","","","","","","",""
"DOM-206","Repair function declared return types or query output explicitly; version replacements when callers depend on the old signature","Database/Backend","DB-007","RPC contract tests","BLOCKED","AUDIT:DOM-206","","","","","","","","","","",""
"DOM-207","Run upload, preview, trust, profile player, merch visibility, and tour roster journeys","QA","DOM-202–206","E2E evidence","BLOCKED","AUDIT:DOM-207","","","","","","","","","","",""
"DOM-301","Confirm which integration and fulfillment features are currently exposed to users","Marketplace/Product","RUN-001","Feature exposure map","BLOCKED","AUDIT:DOM-301","","","","","","","","","","",""
"DOM-302","Gate unreleased connectors and fulfillment paths at the server","Marketplace/Backend","DOM-301","Inaccessible-path tests","BLOCKED","AUDIT:DOM-302","","","","","","","","","","",""
"DOM-303","For released paths, create additive tables with ownership, seller scope, status constraints, timestamps, RLS, and FK indexes","Marketplace/Database","DB-010, DOM-301","Schema/RLS tests","BLOCKED","AUDIT:DOM-303","","","","","","","","","","",""
