coverage_id,persona,stage,goal_id,goal,platform,scenario,entry_route_hint,receiving_actor,expected_persisted_result,owner_domain,shipping_state,status,campaign_id,deployed_sha,actor_ids,before_state,after_state,evidence,finding_id,receiver_evidence,scope_decision_task,scope_approver
GEN-01-WEB-SUCCESS,customer,identity,GEN-01,Sign up and complete account onboarding,web,success,/signup; mobile /(auth)/signup,customer,Account and profile persist after sign-in,general-user,needs_ui_confirmation,not_run,,,,,,,,,,
GEN-01-WEB-EMPTY_STATE,customer,identity,GEN-01,Sign up and complete account onboarding,web,empty_state,/signup; mobile /(auth)/signup,customer,Account and profile persist after sign-in,general-user,needs_ui_confirmation,not_run,,,,,,,,,,
GEN-01-WEB-INVALID_INPUT,customer,identity,GEN-01,Sign up and complete account onboarding,web,invalid_input,/signup; mobile /(auth)/signup,customer,Account and profile persist after sign-in,general-user,needs_ui_confirmation,not_run,,,,,,,,,,
GEN-01-WEB-CANCEL_OR_RETRY,customer,identity,GEN-01,Sign up and complete account onboarding,web,cancel_or_retry,/signup; mobile /(auth)/signup,customer,Account and profile persist after sign-in,general-user,needs_ui_confirmation,not_run,,,,,,,,,,
GEN-01-WEB-NOTIFICATION,customer,identity,GEN-01,Sign up and complete account onboarding,web,notification,/signup; mobile /(auth)/signup,customer,Account and profile persist after sign-in,general-user,needs_ui_confirmation,not_run,,,,,,,,,,
GEN-01-WEB-PERSISTENCE,customer,identity,GEN-01,Sign up and complete account onboarding,web,persistence,/signup; mobile /(auth)/signup,customer,Account and profile persist after sign-in,general-user,needs_ui_confirmation,not_run,,,,,,,,,,
GEN-01-WEB-ACCESSIBILITY,customer,identity,GEN-01,Sign up and complete account onboarding,web,accessibility,/signup; mobile /(auth)/signup,customer,Account and profile persist after sign-in,general-user,needs_ui_confirmation,not_run,,,,,,,,,,
GEN-01-WEB-RESPONSIVE_OR_NATIVE,customer,identity,GEN-01,Sign up and complete account onboarding,web,responsive_or_native,/signup; mobile /(auth)/signup,customer,Account and profile persist after sign-in,general-user,needs_ui_confirmation,not_run,,,,,,,,,,
GEN-01-WEB-UNAUTHORIZED,customer,identity,GEN-01,Sign up and complete account onboarding,web,unauthorized,/signup; mobile /(auth)/signup,customer,Account and profile persist after sign-in,general-user,needs_ui_confirmation,not_run,,,,,,,,,,
GEN-02-WEB-SUCCESS,customer,identity,GEN-02,Update profile and settings,web,success,/settings; mobile /(tabs)/profile,customer,Updated profile and settings persist,general-user,needs_ui_confirmation,not_run,,,,,,,,,,
GEN-02-WEB-EMPTY_STATE,customer,identity,GEN-02,Update profile and settings,web,empty_state,/settings; mobile /(tabs)/profile,customer,Updated profile and settings persist,general-user,needs_ui_confirmation,not_run,,,,,,,,,,
GEN-02-WEB-INVALID_INPUT,customer,identity,GEN-02,Update profile and settings,web,invalid_input,/settings; mobile /(tabs)/profile,customer,Updated profile and settings persist,general-user,needs_ui_confirmation,not_run,,,,,,,,,,
GEN-02-WEB-CANCEL_OR_RETRY,customer,identity,GEN-02,Update profile and settings,web,cancel_or_retry,/settings; mobile /(tabs)/profile,customer,Updated profile and settings persist,general-user,needs_ui_confirmation,not_run,,,,,,,,,,
GEN-02-WEB-NOTIFICATION,customer,identity,GEN-02,Update profile and settings,web,notification,/settings; mobile /(tabs)/profile,customer,Updated profile and settings persist,general-user,needs_ui_confirmation,not_run,,,,,,,,,,
GEN-02-WEB-PERSISTENCE,customer,identity,GEN-02,Update profile and settings,web,persistence,/settings; mobile /(tabs)/profile,customer,Updated profile and settings persist,general-user,needs_ui_confirmation,not_run,,,,,,,,,,
GEN-02-WEB-ACCESSIBILITY,customer,identity,GEN-02,Update profile and settings,web,accessibility,/settings; mobile /(tabs)/profile,customer,Updated profile and settings persist,general-user,needs_ui_confirmation,not_run,,,,,,,,,,
