"route","source_file","account_area","product_domain","audit_risk","disposition","canonicalTarget","owner","decisionBasis"
"/","app/page.tsx","Public / Acquisition","Dashboard / platform","low","keep","/","Public / Acquisition","Canonical surface retained pending normal definition-of-done verification."
"/achievements","app/achievements/page.tsx","General / Work Mode","Discovery & insights","low","keep","/achievements","General / Work Mode","Canonical surface retained pending normal definition-of-done verification."
"/admin","app/admin/page.tsx","Admin / Organization","Dashboard / platform","low","redirect","/admin/dashboard","Admin / Organization","Canonical IA or current canonical-route ledger."
"/admin/applications","app/admin/(dashboard-shell)/applications/page.tsx","Admin / Organization","Workforce & jobs","medium","keep","/admin/applications","Admin / Organization","Canonical surface retained pending normal definition-of-done verification."
"/admin/create-tables","app/admin/(dashboard-shell)/create-tables/page.tsx","Admin / Organization","Identity & onboarding","medium","hide","","Engineering / internal tools","Debug, migration, setup, or test surface; never production navigation."
"/admin/dashboard","app/admin/dashboard/page.tsx","Admin / Organization","Dashboard / platform","low","keep","/admin/dashboard","Admin / Organization","Canonical surface retained pending normal definition-of-done verification."
"/admin/dashboard/agencies","app/admin/dashboard/agencies/page.tsx","Admin / Organization","Dashboard / platform","low","keep","/admin/dashboard/agencies","Admin / Organization","Canonical surface retained pending normal definition-of-done verification."
"/admin/dashboard/analytics","app/admin/dashboard/analytics/page.tsx","Admin / Organization","Discovery & insights","medium","keep","/admin/dashboard/analytics","Admin / Organization","Canonical surface retained pending normal definition-of-done verification."
"/admin/dashboard/applications","app/admin/dashboard/applications/page.tsx","Admin / Organization","Workforce & jobs","low","keep","/admin/dashboard/applications","Admin / Organization","Canonical surface retained pending normal definition-of-done verification."
"/admin/dashboard/applications/[id]","app/admin/dashboard/applications/[id]/page.tsx","Admin / Organization","Workforce & jobs","low","keep","/admin/dashboard/applications/[id]","Admin / Organization","Canonical surface retained pending normal definition-of-done verification."
"/admin/dashboard/artists","app/admin/dashboard/artists/page.tsx","Admin / Organization","Dashboard / platform","medium","keep","/admin/dashboard/artists","Admin / Organization","Canonical surface retained pending normal definition-of-done verification."
"/admin/dashboard/artists/[id]","app/admin/dashboard/artists/[id]/page.tsx","Admin / Organization","Dashboard / platform","low","keep","/admin/dashboard/artists/[id]","Admin / Organization","Canonical surface retained pending normal definition-of-done verification."
"/admin/dashboard/artists/new","app/admin/dashboard/artists/new/page.tsx","Admin / Organization","Dashboard / platform","low","keep","/admin/dashboard/artists/new","Admin / Organization","Canonical surface retained pending normal definition-of-done verification."
"/admin/dashboard/calendar","app/admin/dashboard/calendar/page.tsx","Admin / Organization","Events & bookings","low","keep","/admin/dashboard/calendar","Admin / Organization","Canonical surface retained pending normal definition-of-done verification."
"/admin/dashboard/candidates","app/admin/dashboard/candidates/page.tsx","Admin / Organization","Workforce & jobs","low","keep","/admin/dashboard/candidates","Admin / Organization","Canonical surface retained pending normal definition-of-done verification."
"/admin/dashboard/communications","app/admin/dashboard/communications/page.tsx","Admin / Organization","Dashboard / platform","low","keep","/admin/dashboard/communications","Admin / Organization","Canonical surface retained pending normal definition-of-done verification."
"/admin/dashboard/connect","app/admin/dashboard/connect/page.tsx","Admin / Organization","Community & communications","low","keep","/admin/dashboard/connect","Admin / Organization","Canonical surface retained pending normal definition-of-done verification."
"/admin/dashboard/content","app/admin/dashboard/content/page.tsx","Admin / Organization","Content & publishing","medium","keep","/admin/dashboard/content","Admin / Organization","Canonical surface retained pending normal definition-of-done verification."
"/admin/dashboard/contracts","app/admin/dashboard/contracts/page.tsx","Admin / Organization","Dashboard / platform","low","keep","/admin/dashboard/contracts","Admin / Organization","Canonical surface retained pending normal definition-of-done verification."
"/admin/dashboard/epk","app/admin/dashboard/epk/page.tsx","Admin / Organization","Music & rights","low","keep","/admin/dashboard/epk","Admin / Organization","Canonical surface retained pending normal definition-of-done verification."
"/admin/dashboard/events","app/admin/dashboard/events/page.tsx","Admin / Organization","Events & bookings","low","keep","/admin/dashboard/events","Admin / Organization","Canonical surface retained pending normal definition-of-done verification."
"/admin/dashboard/events/[id]","app/admin/dashboard/events/[id]/page.tsx","Admin / Organization","Events & bookings","critical","keep","/admin/dashboard/events/[id]","Admin / Organization","Canonical surface retained; audit remediation required before release acceptance."
"/admin/dashboard/events/[id]/advancing","app/admin/dashboard/events/[id]/advancing/page.tsx","Admin / Organization","Events & bookings","low","keep","/admin/dashboard/events/[id]/advancing","Admin / Organization","Canonical surface retained pending normal definition-of-done verification."
"/admin/dashboard/events/[id]/check-in","app/admin/dashboard/events/[id]/check-in/page.tsx","Admin / Organization","Events & bookings","low","keep","/admin/dashboard/events/[id]/check-in","Admin / Organization","Canonical surface retained pending normal definition-of-done verification."
"/admin/dashboard/events/[id]/command-center","app/admin/dashboard/events/[id]/command-center/page.tsx","Admin / Organization","Events & bookings","low","keep","/admin/dashboard/events/[id]/command-center","Admin / Organization","Canonical surface retained pending normal definition-of-done verification."
