"task_id","phase","workstream","module_id","module","task","issue","recommendation","priority","effort","dependencies","acceptance_evidence","owner","status","reconciliation_status","evidence","basis","reconciled_at"
"FND-001","Phase 0","Governance","","Platform foundation","Confirm deployed database, branch, and environment identity before testing UI against live data.","","","P0","S","","Environment evidence is captured and approved.","","blocked","blocked","Operator-supplied hosted environment and migration-history evidence required.","The repository cannot prove the deployed database identity without external read-only evidence.","2026-07-28"
"FND-002","Phase 0","Governance","","Platform foundation","Create canonical route register with keep, redirect, hide, and retire states.","","","P0","M","FND-001","Every primary navigation target has one owner and disposition.","","needs remediation","needs remediation","Current app shell, shared UI primitives, CI scripts, and audit registries.","Foundation pieces exist but have not passed the attached audit's complete evidence bundle.","2026-07-28"
"FND-003","Phase 0","Research","","Platform foundation","Run task-based usability baseline with General, Artist, Venue, Admin, and worker personas.","","","P0","M","FND-001","Completion, time, error, and confidence baselines are recorded.","","blocked","blocked","Human usability/accessibility evidence is not present.","Automated code evidence cannot replace moderated and assistive-technology validation.","2026-07-28"
"FND-004","Phase 0","Analytics","","Platform foundation","Define UX event taxonomy for entry, start, validation, submit, success, failure, abandonment, and recovery.","","","P1","M","FND-001","Every P0 flow has measurable funnel events.","","needs remediation","needs remediation","Current app shell, shared UI primitives, CI scripts, and audit registries.","Foundation pieces exist but have not passed the attached audit's complete evidence bundle.","2026-07-28"
"FND-005","Phase 0","Accessibility","","Platform foundation","Run automated and manual baseline on the P0 persona journeys.","","","P0","M","FND-001","Issues are mapped to WCAG 2.2 criteria, severity, route, and component.","","blocked","blocked","Human usability/accessibility evidence is not present.","Automated code evidence cannot replace moderated and assistive-technology validation.","2026-07-28"
"FND-006","Phase 0","Performance","","Platform foundation","Capture route-level LCP, INP, CLS, TTFB, action latency, and long-task baseline.","","","P1","M","FND-001","Field or representative lab baseline exists for each P0 route.","","needs remediation","needs remediation","Current app shell, shared UI primitives, CI scripts, and audit registries.","Foundation pieces exist but have not passed the attached audit's complete evidence bundle.","2026-07-28"
"FND-007","Phase 0","Content design","","Platform foundation","Create canonical terminology for account, organization, team, staff, worker, job, booking, event, tour, and assignment.","","","P0","S","","Terms are approved and mapped to UI labels.","","needs remediation","needs remediation","Current app shell, shared UI primitives, CI scripts, and audit registries.","Foundation pieces exist but have not passed the attached audit's complete evidence bundle.","2026-07-28"
"FND-008","Phase 0","Component governance","","Platform foundation","Quarantine mock/demo/test routes from production navigation.","","","P0","M","FND-002","No production CTA reaches debug, test, migration, or mock-first surface.","","needs remediation","needs remediation","Current app shell, shared UI primitives, CI scripts, and audit registries.","Foundation pieces exist but have not passed the attached audit's complete evidence bundle.","2026-07-28"
"FND-009","Phase 0","Component governance","","Platform foundation","Create duplicate component disposition list using duplicate groups in the registry.","","","P1","M","","Each duplicate group has canonical owner and migration plan.","","needs remediation","needs remediation","Current app shell, shared UI primitives, CI scripts, and audit registries.","Foundation pieces exist but have not passed the attached audit's complete evidence bundle.","2026-07-28"
"FND-010","Phase 0","Release safety","","Platform foundation","Adopt additive expand → backfill → validate → switch → observe for UI contracts and schema dependencies.","","","P0","S","","No UI phase requires a database reset or destructive big-bang cutover.","","verified complete","verified complete","Migration validation scanner, additive migration manifests, disabled reset routes, and completion ledgers.","Repository safeguards enforce additive delivery and reject destructive migration patterns.","2026-07-28"
"FND-011","Phase 1","Navigation","","Platform foundation","Implement one shell contract across General, Artist, Venue, and Admin.","","","P0","L","FND-002,FND-007","Each route has one primary nav, one utility zone, and visible active context.","","needs remediation","needs remediation","Current app shell, shared UI primitives, CI scripts, and audit registries.","Foundation pieces exist but have not passed the attached audit's complete evidence bundle.","2026-07-28"
"FND-012","Phase 1","Navigation","","Platform foundation","Remove or compact root global nav inside account operation shells.","","","P0","M","FND-011","Artist, Venue, and Admin do not render double chrome.","","needs remediation","needs remediation","Current app shell, shared UI primitives, CI scripts, and audit registries.","Foundation pieces exist but have not passed the attached audit's complete evidence bundle.","2026-07-28"
"FND-013","Phase 1","Navigation","","Platform foundation","Standardize mobile primary nav plus overflow pattern by account.","","","P0","M","FND-011","All critical destinations are reachable and labels match desktop.","","needs remediation","needs remediation","Current app shell, shared UI primitives, CI scripts, and audit registries.","Foundation pieces exist but have not passed the attached audit's complete evidence bundle.","2026-07-28"
"FND-014","Phase 1","Navigation","","Platform foundation","Add context-aware breadcrumbs that use entity names instead of raw route segments.","","","P1","M","FND-011","Dynamic routes announce meaningful hierarchy and current page.","","needs remediation","needs remediation","Current app shell, shared UI primitives, CI scripts, and audit registries.","Foundation pieces exist but have not passed the attached audit's complete evidence bundle.","2026-07-28"
"FND-015","Phase 1","Navigation","","Platform foundation","Standardize universal search, create, inbox, alerts, help, and account switch placement.","","","P1","M","FND-011","Utilities remain in the same relative location across account shells.","","needs remediation","needs remediation","Current app shell, shared UI primitives, CI scripts, and audit registries.","Foundation pieces exist but have not passed the attached audit's complete evidence bundle.","2026-07-28"
"FND-016","Phase 1","Design system","","Platform foundation","Define semantic color tokens and account accents; remove feature-level literal colors.","","","P0","L","FND-007","Approved UI contains no new literal color values outside token definitions.","","needs remediation","needs remediation","Current app shell, shared UI primitives, CI scripts, and audit registries.","Foundation pieces exist but have not passed the attached audit's complete evidence bundle.","2026-07-28"
"FND-017","Phase 1","Design system","","Platform foundation","Define typography roles, density scales, spacing, radii, borders, shadows, and elevation.","","","P0","M","FND-016","All shared primitives use documented tokens.","","needs remediation","needs remediation","Current app shell, shared UI primitives, CI scripts, and audit registries.","Foundation pieces exist but have not passed the attached audit's complete evidence bundle.","2026-07-28"
"FND-018","Phase 1","Design system","","Platform foundation","Restrict gradients/glass/ambient motion to approved branded moments.","","","P1","M","FND-016","Operational screens use hierarchy, not decoration, to indicate importance.","","needs remediation","needs remediation","Current app shell, shared UI primitives, CI scripts, and audit registries.","Foundation pieces exist but have not passed the attached audit's complete evidence bundle.","2026-07-28"
"FND-019","Phase 1","Design system","","Platform foundation","Create account surface recipes: General, Artist, Venue, Admin, Work Mode, and public templates.","","","P1","M","FND-016,FND-017","Account identity is clear without changing component behavior.","","needs remediation","needs remediation","Current app shell, shared UI primitives, CI scripts, and audit registries.","Foundation pieces exist but have not passed the attached audit's complete evidence bundle.","2026-07-28"
"FND-020","Phase 1","Components","","Platform foundation","Create shared PageHeader with title, context, status, primary action, secondary actions, and help.","","","P0","M","FND-017","P0 pages use one header anatomy.","","needs remediation","needs remediation","Current app shell, shared UI primitives, CI scripts, and audit registries.","Foundation pieces exist but have not passed the attached audit's complete evidence bundle.","2026-07-28"
"FND-021","Phase 1","Components","","Platform foundation","Create shared filter/search/sort/view bar with URL-persisted state.","","","P0","L","FND-017","Filters survive refresh/back and are screen-reader labeled.","","needs remediation","needs remediation","Current app shell, shared UI primitives, CI scripts, and audit registries.","Foundation pieces exist but have not passed the attached audit's complete evidence bundle.","2026-07-28"
"FND-022","Phase 1","Components","","Platform foundation","Create shared data table with responsive priority columns, selection, pagination, and empty/error states.","","","P0","L","FND-017","Tables work at 320px and with keyboard/screen readers.","","needs remediation","needs remediation","Current app shell, shared UI primitives, CI scripts, and audit registries.","Foundation pieces exist but have not passed the attached audit's complete evidence bundle.","2026-07-28"
"FND-023","Phase 1","Components","","Platform foundation","Create shared status model and badge component with text, icon, and semantic color.","","","P0","M","FND-007,FND-016","Status never relies on color alone and terms are consistent.","","needs remediation","needs remediation","Current app shell, shared UI primitives, CI scripts, and audit registries.","Foundation pieces exist but have not passed the attached audit's complete evidence bundle.","2026-07-28"
"FND-024","Phase 1","Components","","Platform foundation","Create shared EntityPicker for user, artist, venue, organization, event, tour, and assignment.","","","P0","L","FND-007","Pickers show identity, scope, search, loading, empty, and permission states.","","needs remediation","needs remediation","Current app shell, shared UI primitives, CI scripts, and audit registries.","Foundation pieces exist but have not passed the attached audit's complete evidence bundle.","2026-07-28"
"FND-025","Phase 1","Components","","Platform foundation","Create shared destructive confirmation pattern with impact, target, typed confirmation when warranted, and recovery.","","","P0","M","FND-017","Destructive actions cannot be mistaken for normal saves.","","needs remediation","needs remediation","Current app shell, shared UI primitives, CI scripts, and audit registries.","Foundation pieces exist but have not passed the attached audit's complete evidence bundle.","2026-07-28"
"FND-026","Phase 1","States","","Platform foundation","Create panel-level loading, empty, error, partial, stale, offline, permission, conflict, and success primitives.","","","P0","L","FND-017","A single failing panel never replaces the whole workspace.","","needs remediation","needs remediation","Current app shell, shared UI primitives, CI scripts, and audit registries.","Foundation pieces exist but have not passed the attached audit's complete evidence bundle.","2026-07-28"
"FND-027","Phase 1","Forms","","Platform foundation","Standardize label, description, required/optional, validation, dirty, saving, saved, conflict, and retry states.","","","P0","L","FND-017","Forms preserve values on validation and network failures.","","needs remediation","needs remediation","Current app shell, shared UI primitives, CI scripts, and audit registries.","Foundation pieces exist but have not passed the attached audit's complete evidence bundle.","2026-07-28"
"FND-028","Phase 1","Forms","","Platform foundation","Add resumable multi-step wizard shell with autosave, step validation, review, and safe exit.","","","P0","L","FND-027","Long flows resume at the correct step after refresh or re-login.","","needs remediation","needs remediation","Current app shell, shared UI primitives, CI scripts, and audit registries.","Foundation pieces exist but have not passed the attached audit's complete evidence bundle.","2026-07-28"
"FND-029","Phase 1","Accessibility","","Platform foundation","Replace non-semantic clickable containers with native buttons/links or complete widget patterns.","","","P0","L","FND-005","No P0 flow depends on pointer-only interaction.","","needs remediation","needs remediation","Current app shell, shared UI primitives, CI scripts, and audit registries.","Foundation pieces exist but have not passed the attached audit's complete evidence bundle.","2026-07-28"
"FND-030","Phase 1","Accessibility","","Platform foundation","Enforce accessible names for all icon-only controls.","","","P0","M","FND-005","Automated name checks pass and names describe outcomes.","","needs remediation","needs remediation","Current app shell, shared UI primitives, CI scripts, and audit registries.","Foundation pieces exist but have not passed the attached audit's complete evidence bundle.","2026-07-28"
"FND-031","Phase 1","Accessibility","","Platform foundation","Implement visible focus, focus restoration, skip links, focus-not-obscured, and modal focus traps.","","","P0","L","FND-005,FND-011","Keyboard focus remains visible and logical through every P0 flow.","","needs remediation","needs remediation","Current app shell, shared UI primitives, CI scripts, and audit registries.","Foundation pieces exist but have not passed the attached audit's complete evidence bundle.","2026-07-28"
"FND-032","Phase 1","Accessibility","","Platform foundation","Add reduced-motion behavior and remove essential information from ambient animation.","","","P1","M","FND-005,FND-018","Prefers-reduced-motion users get equivalent task feedback.","","needs remediation","needs remediation","Current app shell, shared UI primitives, CI scripts, and audit registries.","Foundation pieces exist but have not passed the attached audit's complete evidence bundle.","2026-07-28"
"FND-033","Phase 1","Accessibility","","Platform foundation","Provide non-drag alternatives for site maps, schedulers, Kanban, and sortable builders.","","","P0","L","FND-005","Every drag action has a keyboard/tap menu alternative.","","needs remediation","needs remediation","Current app shell, shared UI primitives, CI scripts, and audit registries.","Foundation pieces exist but have not passed the attached audit's complete evidence bundle.","2026-07-28"
