pilot_order,pilot_stage,coverage_id,persona,scenario,status,shipping_state
1,publish,ART-01-WEB-SUCCESS,artist_owner,success,not_run,needs_ui_confirmation
2,publish,ART-04-WEB-SUCCESS,artist_owner,success,not_run,needs_ui_confirmation
3,publish,ART-06-WEB-SUCCESS,artist_owner,success,not_run,needs_ui_confirmation
4,follow_buy,GEN-03-WEB-SUCCESS,customer,success,not_run,needs_ui_confirmation
5,follow_buy,GEN-04-WEB-SUCCESS,customer,success,not_run,needs_ui_confirmation
6,follow_buy,GEN-04-WEB-CANCEL_OR_RETRY,customer,cancel_or_retry,not_run,needs_ui_confirmation
7,follow_buy,GEN-04-WEB-PERSISTENCE,customer,persistence,not_run,needs_ui_confirmation
8,follow_buy,GEN-07-WEB-SUCCESS,customer,success,not_run,needs_ui_confirmation
9,follow_buy,GEN-07-WEB-PERSISTENCE,customer,persistence,not_run,needs_ui_confirmation
10,follow_buy,GEN-07-WEB-UNAUTHORIZED,customer,unauthorized,not_run,needs_ui_confirmation
11,event,ORG-01-WEB-SUCCESS,organization_manager,success,not_run,needs_ui_confirmation
12,event,ORG-06-WEB-SUCCESS,organization_manager,success,not_run,needs_ui_confirmation
13,post_job,ORG-07-WEB-SUCCESS,organization_manager,success,not_run,needs_ui_confirmation
14,apply_onboard,WRK-01-WEB-SUCCESS,worker,success,not_run,needs_ui_confirmation
15,apply_onboard,WRK-02-WEB-SUCCESS,worker,success,not_run,needs_ui_confirmation
16,apply_onboard,WRK-03-WEB-SUCCESS,worker,success,not_run,needs_ui_confirmation
17,hire_schedule,ORG-08-WEB-SUCCESS,organization_manager,success,not_run,needs_ui_confirmation
18,hire_schedule,WRK-04-WEB-SUCCESS,worker,success,not_run,needs_ui_confirmation
19,attendance,WRK-05-WEB-SUCCESS,worker,success,not_run,needs_ui_confirmation
20,attendance,WRK-05-WEB-PERSISTENCE,worker,persistence,not_run,needs_ui_confirmation
21,attendance,WRK-05-WEB-UNAUTHORIZED,worker,unauthorized,not_run,needs_ui_confirmation
22,attendance,FOREIGN-01-WEB-UNAUTHORIZED,foreign_org_manager,unauthorized,not_run,needs_ui_confirmation
23,attendance,WRK-06-WEB-SUCCESS,worker,success,not_run,needs_ui_confirmation
24,close,ORG-10-WEB-SUCCESS,organization_manager,success,not_run,needs_ui_confirmation
25,close,ORG-10-WEB-PERSISTENCE,organization_manager,persistence,not_run,needs_ui_confirmation
