wave,objective,task_ids,dependencies,release_rollback_note,status,owner,pr_links,notes
W00,Architecture + fixtures,"ADMUX-0001, ADMUX-0002",None,Docs/fixtures only; no broad UI refactor.,Not Started,,,
W01,Admin IA + scope switch,"ADMUX-0101, ADMUX-0102, ADMUX-0103",W00,Feature-flag new sidebar; keep old routes.,Not Started,,,
W02,URL/deep-link foundation,"ADMUX-0104, ADMUX-0105, ADMUX-0106, ADMUX-0107, ADMUX-0108, ADMUX-0109, ADMUX-0110, ADMUX-0111",W00-W01,Ship helpers + migrate routes in slices; preserve aliases.,Not Started,,,
W03,Shared header/state/attention,"ADMUX-0201, ADMUX-0202, ADMUX-0203",W00-W02,Do not page-migrate until state contracts are stable.,Not Started,,,
W04,Shell/design-system/a11y primitives,"ADMUX-0204, ADMUX-0205, ADMUX-0206, ADMUX-0207, ADMUX-0208, ADMUX-0209, ADMUX-0210",W03,High regression surface; visual/a11y fixtures mandatory.,Not Started,,,
W05,Collections: Tours + Events,"ADMUX-0301, ADMUX-0302, ADMUX-0303, ADMUX-0304",W02-W04,Use seeded >120-record fixtures.,Not Started,,,
W06,Collections: Ticket orders + Finance + KPI contracts,"ADMUX-0305, ADMUX-0306, ADMUX-0307",W02-W04,Authoritative exports/aggregates required before UI claims totals.,Not Started,,,
W07,Dashboard command center,"ADMUX-0401, ADMUX-0402, ADMUX-0403",W03-W06,Action Center consumes normalized domain attention items.,Not Started,,,
W08,Workspace navigation + Tour/Event shells,"ADMUX-0501, ADMUX-0502, ADMUX-0503",W02-W04,Feature flag by organization; preserve legacy deep links.,Not Started,,,
W09,Event domain state/actions/People/Logistics,"ADMUX-0504, ADMUX-0505, ADMUX-0506",W08,No duplicate canonical workspace ownership.,Not Started,,,
W10,Workforce/Hiring/Organization governance,"ADMUX-0601, ADMUX-0602, ADMUX-0603","W04,W08",Persona/capability matrix required.,Not Started,,,
W11,Logistics command center,"ADMUX-0701, ADMUX-0702, ADMUX-0703","W03-W04,W08-W09",Measure request fanout and domain ownership before/after.,Not Started,,,
W12,Communications responsive/privacy,"ADMUX-0704, ADMUX-0705",W02-W04,Private attachment rollout coordinated with security/storage rules.,Not Started,,,
W13,Ticketing + Finance + Vendor workspace migrations,"ADMUX-0801, ADMUX-0802, ADMUX-0803","W06,W08",Do not remove legacy budget/vendor surfaces until parity.,Not Started,,,
W14,Analytics/data trust,ADMUX-0901,"W03,W06",Two-org realtime/export negative tests mandatory.,Not Started,,,
W15,Mobile/a11y closure,ADMUX-1001,W08-W14,Cross-surface hardening after shared navigation/components settle.,Not Started,,,
W16,Authenticated runtime UX verification,ADMUX-1101,W05-W15,No launch sign-off without persona evidence.,Not Started,,,
W17,Feature-flag rollout + legacy retirement,ADMUX-1102,W16,Remove legacy only after parity/usage/rollback evidence.,Not Started,,,
