task_id,wave,phase,workstream,title,finding_ids,dependencies,size,risk,objective,implementation,current_target_files,suggested_new_targets,acceptance,tests,status,owner,pr,evidence
ADMUX-0001,W00,Phase 00 — Architecture Freeze,Architecture & Baseline,Approve Admin UX ADR bundle,,,M,Medium,Resolve the 10 architecture decisions before broad page migration.,"Review and approve the IA, URL/scope, workspace ownership, component convergence, data-state, collection, workspace-navigation, critical-action, Dashboard and mobile-scope ADR drafts. Record decisions and explicitly mark deferred scope.",,docs/admin/ux/adr/*,All ADRs have a Decided/Deferred status; no downstream phase depends on an unresolved decision; every deferred item has a rationale and launch impact.,Document review + architecture sign-off.,Not Started,,,
ADMUX-0002,W00,Phase 00 — Architecture Freeze,Architecture & Baseline,Create seeded UX regression fixtures,,ADMUX-0001,L,Medium,Make premiere-quality behavior testable before UI migrations begin.,"Define deterministic Organization A/B fixtures, 120+ events/tours, unread messages, failed/degraded API fixtures, finance/ticketing data, mobile viewport scenarios and representative role/capability personas.",,tests/fixtures/admin-ux/*; scripts/admin-ux-seed.*,"Fixtures can reproduce every critical collection-scale, multi-org, failure-truthfulness and mobile scenario referenced by this plan.",Fixture smoke run; seed idempotency test.,Not Started,,,
ADMUX-0101,W01,"Phase 01 — Navigation, URL & Scope Foundation",IA & Vocabulary,Restructure first-level Admin IA,"AUX-IA-001, AUX-IA-002, AUX-IA-008, AUX-IA-009, AUX-FLOW-005",ADMUX-0001,XL,High,Replace feature-inventory navigation with a task-oriented Admin hierarchy.,"Define canonical first-level groups, map every current route to the new taxonomy, keep old routes as deep-link aliases, redesign sidebar search to return direct matches, and add a recent/pinned area only after the primary hierarchy is simplified.",app/admin/dashboard/components/optimized-sidebar.tsx; multiple inspected files,lib/admin/navigation/admin-navigation-model.ts; components/admin/navigation/admin-sidebar.tsx; lib/admin/navigation/admin-vocabulary.ts,Every current Admin destination remains reachable; first-click testing improves for common owner/manager/coordinator tasks; no duplicate primary label represents the same concept; search returns direct matching destinations.,Route inventory test; first-click usability test; keyboard search test.,Not Started,,,
ADMUX-0102,W01,"Phase 01 — Navigation, URL & Scope Foundation",IA & Accessibility,Replace custom mobile/collapsed sidebar behavior,"AUX-IA-003, AUX-IA-004, AUX-IA-005, AUX-IA-007",ADMUX-0101,L,Medium,"Make Admin navigation accessible, SPA-native and compact on constrained viewports.","Move mobile navigation to the canonical Sheet/Drawer primitive, add focus trap/restore/Escape/scroll lock, ensure every icon-only nav item has an accessible label + tooltip, remove window.location navigation, and collapse stable acting-context chrome.",app/admin/dashboard/components/optimized-sidebar.tsx; app/admin/dashboard/components/admin-acting-context-bar.tsx,components/admin/navigation/admin-mobile-drawer.tsx; components/admin/navigation/icon-nav-item.tsx,One accessible mobile drawer; no internal full reloads; collapsed items have accessible names; body does not scroll behind drawer; stable scope consumes less vertical height.,axe; VoiceOver/TalkBack; keyboard Escape/focus; navigation no-reload assertion.,Not Started,,,
ADMUX-0103,W01,"Phase 01 — Navigation, URL & Scope Foundation",Scope & Identity UX,Unify acting-organization scope control,AUX-IA-006,ADMUX-0001,M,High,Put the active organization and the action to change it in one predictable place.,Merge the scope indicator and switch affordance into the canonical Admin header/context control. Preserve the existing acting-context security model; do not silently switch scope from child URLs.,app/admin/dashboard/components/admin-acting-context-bar.tsx,components/admin/scope/admin-scope-switcher.tsx; components/admin/scope/admin-scope-breadcrumb.tsx,Users can identify and switch the organization from any Admin workspace; every mutation still carries the resolved acting context; scope change is visually confirmed before page data mutates.,Two-org deep-link test; stale-scope mutation negative test.,Not Started,,,
ADMUX-0104,W02,"Phase 01 — Navigation, URL & Scope Foundation",URL & Deep Linking,Implement canonical Admin URL/scope contract,"AUX-IA-010, AUX-FLOW-003, AUX-FLOW-004, AUX-FLOW-007",ADMUX-0001,XL,High,"Give all Admin workspaces the same rules for account scope, child scope, tab/view, filters, pagination and selected records.",Create shared parse/build/update helpers; define canonical keys; preserve supported legacy aliases; ensure internal links preserve account/scope context; define collection→detail return-state behavior.,multiple inspected Admin route files; multiple inspected files,lib/admin/navigation/admin-route-state.ts; lib/admin/navigation/admin-link-builder.ts,Back/Forward/refresh/share work consistently across representative workspaces; legacy links resolve to canonical state; account scope is never silently changed by a child URL.,Automated URL matrix; browser history tests; cross-org tamper tests.,Not Started,,,
ADMUX-0105,W02,"Phase 01 — Navigation, URL & Scope Foundation",URL & Deep Linking,Migrate Dashboard navigation state,"AUX-DASH-003, AUX-DASH-004, AUX-DASH-010",ADMUX-0104,M,Low,Make Dashboard refresh and drill-down preserve the working view.,Replace document reloads with scoped refetch/router navigation and sync active Dashboard tab to URL.,app/admin/dashboard/components/optimized-dashboard-client.tsx,,No full reload for Refresh/row drill-down; copied URL restores the active Dashboard subview; Back returns to the same working state.,Playwright history/deep-link test.,Not Started,,,
ADMUX-0106,W02,"Phase 01 — Navigation, URL & Scope Foundation",URL & Deep Linking,Migrate Tour portfolio view/filter state,AUX-TOUR-002,ADMUX-0104,M,Medium,"Make Tour portfolio searches, filters and saved-view selections shareable and restorable.",Encode search/status/tag/owner/saved-view/sort/page/density in the canonical collection URL contract.,app/admin/dashboard/tours/tours-page-client.tsx,,Two sessions opening the same URL see the same working set; Back/Forward restores changes.,Portfolio deep-link test; saved-view regression.,Not Started,,,
ADMUX-0107,W02,"Phase 01 — Navigation, URL & Scope Foundation",URL & Deep Linking,Normalize Event edit routes,AUX-EVT-020,ADMUX-0104,S,Low,Use one canonical Event edit URL regardless of entry point.,"Choose the canonical edit route, migrate cards/detail/related links, and keep legacy id/draft aliases redirecting without losing account/scope.",app/admin/dashboard/events/[id]/page.tsx; components/admin/operations/event-operations-card.tsx,,Every edit entry point lands on the same canonical URL and opens the same Event.,Link inventory + redirect test.,Not Started,,,
ADMUX-0108,W02,"Phase 01 — Navigation, URL & Scope Foundation",Calendar Scope,Harden Calendar scope resolution and option loading,"AUX-CAL-001, AUX-CAL-002, AUX-CAL-003","ADMUX-0103, ADMUX-0104",L,High,"Make global Calendar scope explicit, organization-safe and failure-transparent.",Add an explicit organization/all scope when backend support exists; otherwise clearly label narrowing. Fetch Tour/Event options with acting-context headers and render scope-option unavailable/retry states instead of empty arrays.,components/admin/admin-calendar-view.tsx,,Calendar never looks organization-global when narrowed; Org A/B options never cross; option API failure never looks like 'no events'.,Two-org test; failed-option test; scope deep-link test.,Not Started,,,
ADMUX-0109,W02,"Phase 01 — Navigation, URL & Scope Foundation",Workforce Scope,Normalize Staff/Hiring employer scope and Hiring tab URLs,"AUX-WRK-003, AUX-HIRE-001","ADMUX-0103, ADMUX-0104",M,Medium,Give Staff and Hiring the same employer-scope and tab-restoration behavior.,Use one scope-loading/remediation path across Staff tabs; make Hiring tabs controlled by URL like Staff.,app/admin/dashboard/staff/page.tsx; components/hiring/hiring-dashboard-shell.tsx,,No tab-specific missing-scope surprises; Hiring tab survives refresh/share/back.,Employer hydration tests; Hiring deep-link tests.,Not Started,,,
ADMUX-0110,W02,"Phase 01 — Navigation, URL & Scope Foundation",URL & Deep Linking,"Migrate Ticketing, Finance, Contracts, Communications and Analytics URL state","AUX-TIX-002, AUX-TIX-006, AUX-FIN-002, AUX-CON-001, AUX-COM-005, AUX-ANL-004",ADMUX-0104,L,Medium,Complete URL-state parity across the remaining high-value Admin workspaces.,Sync active tab/view and relevant event/date/conversation scope using the canonical helpers; preserve account context on all replacements.,app/admin/dashboard/ticketing/page.tsx; app/admin/dashboard/finances/page.tsx; app/admin/dashboard/contracts/page.tsx; app/admin/dashboard/components/admin-unified-inbox.tsx; app/admin/dashboard/analytics/page.tsx,,Each workspace restores exact meaningful state after refresh/share/back; selected Event/conversation/date scope remains visible.,Parameterized deep-link test matrix.,Not Started,,,
ADMUX-0111,W02,"Phase 01 — Navigation, URL & Scope Foundation",Workspace Ownership,Publish canonical workspace ownership matrix,AUX-FLOW-001,ADMUX-0001,M,High,Remove ambiguity between embedded Event/Tour panels and global workspaces.,"For each domain (Tasks, Workforce, Hiring, Logistics, Comms, Ticketing, Finance, Vendors/Contracts, Calendar) name the canonical UI, embedded-mode contract, allowed mutation ownership and return-path convention.",multiple inspected files,docs/admin/ux/CANONICAL_WORKSPACE_OWNERSHIP.md,Every duplicated domain has one documented source-of-truth UI and an approved embed/deep-link approach.,Architecture review + route/component crosswalk.,Not Started,,,
ADMUX-0201,W03,Phase 02 — Shared UI & State Platform,Admin Design System,Build canonical Admin header/scope variants,"AUX-CMP-001, AUX-A11Y-008",ADMUX-0103,L,Medium,"Standardize collection, record, workspace and settings headers.","Extend or replace AdminPageHeader with variants supporting breadcrumbs/back, scope, status, save/dirty state, primary/secondary/overflow actions and responsive behavior.",app/admin/dashboard/components/admin-page-header.tsx,components/admin/ui/admin-page-header.tsx,All migrated pages preserve page identity and one primary action from 320px through desktop; record state/scope are visible when relevant.,Story/fixture coverage; axe; responsive screenshot tests.,Not Started,,,
ADMUX-0202,W03,Phase 02 — Shared UI & State Platform,State Truthfulness,Implement universal Admin data-state contract,"AUX-CMP-002, AUX-STATE-001, AUX-STATE-002, AUX-STATE-003",ADMUX-0002,XL,High,Eliminate false-empty and false-zero behavior across Admin.,"Define typed state/result helpers for loading, ready, true-empty, filtered-empty, stale, degraded, denied and unavailable. Add canonical panel/page/metric renderers, retry behavior and one freshness vocabulary.",app/admin/dashboard/components/admin-empty-state.tsx; multiple inspected files; app/admin/dashboard/events/events-page-client.tsx; app/admin/dashboard/analytics/page.tsx,lib/admin/data/admin-data-state.ts; components/admin/states/*,No migrated P1 surface maps failed primary data to legitimate 0/empty; stale/partial data is visibly labeled; action errors do not replace healthy page state.,Fault-injection component tests; API-state fixture tests; screenshot assertions.,Not Started,,,
ADMUX-0203,W03,Phase 02 — Shared UI & State Platform,Attention & Action Center,Create reusable AttentionQueue primitive,"AUX-CMP-003, AUX-CMP-004, AUX-FLOW-008","ADMUX-0104, ADMUX-0202",L,Medium,Provide one reusable model for actionable exceptions and direct remediation.,"Support severity, count, scope, owner, due time, source domain, direct internal Link navigation and View All; preserve context.",app/admin/dashboard/components/admin-operations-index-shell.tsx; multiple inspected files,components/admin/attention/admin-attention-queue.tsx; lib/admin/attention/types.ts,More than three issues remain discoverable; internal issue navigation stays SPA-native; Dashboard can aggregate domain queues.,Seeded attention fixture; link/navigation test.,Not Started,,,
ADMUX-0204,W04,Phase 02 — Shared UI & State Platform,Shell & Accessibility,Fix nested landmarks and viewport sizing,"AUX-CMP-005, AUX-CMP-006, AUX-A11Y-001, AUX-A11Y-007",ADMUX-0201,M,Medium,Make every Admin route use one main landmark and predictable scroll ownership.,Refactor WorkforcePageShell into a nested section/container variant; remove second min-h-screen; establish min-h-0/flex scroll contracts for split-pane workspaces.,app/admin/dashboard/components/admin-dashboard-shell.tsx; components/hiring/workforce-ui.tsx; app/admin/dashboard/components/admin-unified-inbox.tsx,,Exactly one main landmark; no double-scroll on target viewports; keyboard scrolling remains predictable.,axe landmark test; 768px-height + mobile Safari scroll test.,Not Started,,,
